,AREA,YEAR_invest,TECHNOLOGIES,TECHNOLOGIES,transInvest_Dvar
216,Marseille,2030,CCS1,curtailment,0.0
217,Marseille,2030,CCS1,CCS2,0.0
218,Marseille,2030,CCS1,SMR + CCS1,0.0
219,Marseille,2030,CCS1,WindOnShore,0.0
220,Marseille,2030,CCS1,WindOffShore_flot,0.0
221,Marseille,2030,CCS1,SMR + CCS2,0.0
222,Marseille,2030,CCS1,CCS1,0.0
223,Marseille,2030,CCS1,SMR,0.0
224,Marseille,2030,CCS1,Solar,0.0
225,Marseille,2030,SMR,curtailment,0.0
226,Marseille,2030,SMR,CCS2,0.0
227,Marseille,2030,SMR,SMR + CCS1,-1.2705494208814505e-21
228,Marseille,2030,SMR,WindOnShore,0.0
229,Marseille,2030,SMR,WindOffShore_flot,0.0
230,Marseille,2030,SMR,SMR + CCS2,0.0
231,Marseille,2030,SMR,CCS1,0.0
232,Marseille,2030,SMR,SMR,0.0
233,Marseille,2030,SMR,Solar,0.0
234,Marseille,2030,Solar,curtailment,0.0
235,Marseille,2030,Solar,CCS2,0.0
236,Marseille,2030,Solar,SMR + CCS1,0.0
237,Marseille,2030,Solar,WindOnShore,0.0
238,Marseille,2030,Solar,WindOffShore_flot,0.0
239,Marseille,2030,Solar,SMR + CCS2,0.0
240,Marseille,2030,Solar,CCS1,0.0
241,Marseille,2030,Solar,SMR,0.0
242,Marseille,2030,Solar,Solar,0.0
243,Marseille,2040,curtailment,curtailment,0.0
244,Marseille,2040,curtailment,CCS2,0.0
245,Marseille,2040,curtailment,SMR + CCS1,0.0
246,Marseille,2040,curtailment,WindOnShore,0.0
247,Marseille,2040,curtailment,WindOffShore_flot,0.0
248,Marseille,2040,curtailment,SMR + CCS2,0.0
249,Marseille,2040,curtailment,CCS1,0.0
250,Marseille,2040,curtailment,SMR,0.0
251,Marseille,2040,curtailment,Solar,0.0
252,Marseille,2040,CCS2,curtailment,0.0
253,Marseille,2040,CCS2,CCS2,0.0
254,Marseille,2040,CCS2,SMR + CCS1,0.0
255,Marseille,2040,CCS2,WindOnShore,0.0
256,Marseille,2040,CCS2,WindOffShore_flot,0.0
257,Marseille,2040,CCS2,SMR + CCS2,0.0
258,Marseille,2040,CCS2,CCS1,0.0
259,Marseille,2040,CCS2,SMR,0.0
260,Marseille,2040,CCS2,Solar,0.0
261,Marseille,2040,SMR + CCS1,curtailment,0.0
262,Marseille,2040,SMR + CCS1,CCS2,0.0
263,Marseille,2040,SMR + CCS1,SMR + CCS1,0.0
264,Marseille,2040,SMR + CCS1,WindOnShore,0.0
265,Marseille,2040,SMR + CCS1,WindOffShore_flot,0.0
266,Marseille,2040,SMR + CCS1,SMR + CCS2,0.0
267,Marseille,2040,SMR + CCS1,CCS1,0.0
268,Marseille,2040,SMR + CCS1,SMR,0.0
269,Marseille,2040,SMR + CCS1,Solar,0.0
270,Marseille,2040,WindOnShore,curtailment,0.0
271,Marseille,2040,WindOnShore,CCS2,0.0
272,Marseille,2040,WindOnShore,SMR + CCS1,0.0
273,Marseille,2040,WindOnShore,WindOnShore,0.0
