YEAR;SCENARIO;TECHNOLOGIE;powerCosts;capacityCosts;Prod;elecUse;gasUse;carbon;prodPercent;elecPercent;gasPercent;importElec;TURPE;capexElec;importGas;storageElec;storageH2;pipelineH2;importH2
2020;scenario2_tdemi;SMR;754236;16440000;3591600;0;4597248;108756521,3;0;0;1;0;0;0;61764777,34;0;0;0;0
2030;scenario2_tdemi;SMR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;scenario2_tdouble;AEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2030;scenario2_tdouble;AEL;0;112936118,3;4599000;6416994,435;0;2585893,195;1;1;0;26314064,01;33469390,09;268119826,4;0;0;10039001,71;0;77781689,41
2020;scenario2_tdouble;SMR;754236;16440000;3591600;0;4597248;108756521,3;0;0;1;0;0;0;61764777,34;0;0;0;0
2030;scenario2_tdouble;SMR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;scenario3_tdemi;AEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2030;scenario3_tdemi;AEL;0;115488043,5;4599000;6521713,147;0;4002066,648;1;1;0;32384113,39;27909917,1;236809776,2;0;0;10120638,71;49844934,31;65541840,01
2020;scenario3_tdemi;SMR;754236;16440000;3591600;0;4597248;108756521,3;0;0;1;0;0;0;61764777,34;0;0;0;0
2030;scenario3_tdemi;SMR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;scenario3_tdouble;AEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2030;scenario3_tdouble;AEL;0;110118867,5;4599000;6496993,463;0;3404043,077;1;1;0;30860131,94;37325755,49;256395975,5;0;0;9948876,85;49844934,31;68431153,73
2020;scenario3_tdouble;SMR;754236;16440000;3591600;0;4597248;108756521,3;0;0;1;0;0;0;61764777,34;0;0;0;0
2030;scenario3_tdouble;SMR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;scenario4_tdemi;AEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2030;scenario4_tdemi;AEL;0;98350204,32;4599000;7042777,963;0;7404896,547;1;1;0;55796074,6;35168901,02;244055525,3;0;0;19957008,22;49844934,31;4638160,16
