,AREA,YEAR_invest,TECHNOLOGIES,TECHNOLOGIES,transInvest_Dvar
175,France,2010,electrolysis_AEL,TAC_H2,0.0
176,France,2010,IntercoOut,OldNuke,0.0
177,France,2010,IntercoOut,curtailment,0.0
178,France,2010,IntercoOut,HydroRiver,0.0
179,France,2010,IntercoOut,HydroReservoir,0.0
180,France,2010,IntercoOut,CCG_H2,0.0
181,France,2010,IntercoOut,TAC,0.0
182,France,2010,IntercoOut,NewNuke,0.0
183,France,2010,IntercoOut,CCG,0.0
184,France,2010,IntercoOut,WindOffShore,0.0
185,France,2010,IntercoOut,WindOnShore,0.0
186,France,2010,IntercoOut,electrolysis_AEL,0.0
187,France,2010,IntercoOut,IntercoOut,0.0
188,France,2010,IntercoOut,IntercoIn,0.0
189,France,2010,IntercoOut,Solar,0.0
190,France,2010,IntercoOut,Coal_p,0.0
191,France,2010,IntercoOut,TAC_H2,0.0
192,France,2010,IntercoIn,OldNuke,0.0
193,France,2010,IntercoIn,curtailment,0.0
194,France,2010,IntercoIn,HydroRiver,0.0
195,France,2010,IntercoIn,HydroReservoir,0.0
196,France,2010,IntercoIn,CCG_H2,0.0
197,France,2010,IntercoIn,TAC,0.0
198,France,2010,IntercoIn,NewNuke,0.0
199,France,2010,IntercoIn,CCG,0.0
200,France,2010,IntercoIn,WindOffShore,0.0
201,France,2010,IntercoIn,WindOnShore,0.0
202,France,2010,IntercoIn,electrolysis_AEL,0.0
203,France,2010,IntercoIn,IntercoOut,0.0
204,France,2010,IntercoIn,IntercoIn,0.0
205,France,2010,IntercoIn,Solar,0.0
206,France,2010,IntercoIn,Coal_p,0.0
207,France,2010,IntercoIn,TAC_H2,0.0
208,France,2010,Solar,OldNuke,0.0
209,France,2010,Solar,curtailment,0.0
210,France,2010,Solar,HydroRiver,0.0
211,France,2010,Solar,HydroReservoir,0.0
212,France,2010,Solar,CCG_H2,0.0
213,France,2010,Solar,TAC,0.0
214,France,2010,Solar,NewNuke,0.0
215,France,2010,Solar,CCG,0.0
216,France,2010,Solar,WindOffShore,0.0
217,France,2010,Solar,WindOnShore,0.0
218,France,2010,Solar,electrolysis_AEL,0.0
219,France,2010,Solar,IntercoOut,0.0
220,France,2010,Solar,IntercoIn,0.0
221,France,2010,Solar,Solar,0.0
222,France,2010,Solar,Coal_p,0.0
223,France,2010,Solar,TAC_H2,0.0
224,France,2010,Coal_p,OldNuke,0.0
225,France,2010,Coal_p,curtailment,0.0
226,France,2010,Coal_p,HydroRiver,0.0
227,France,2010,Coal_p,HydroReservoir,0.0
228,France,2010,Coal_p,CCG_H2,0.0
229,France,2010,Coal_p,TAC,0.0
230,France,2010,Coal_p,NewNuke,0.0
231,France,2010,Coal_p,CCG,0.0
232,France,2010,Coal_p,WindOffShore,0.0
233,France,2010,Coal_p,WindOnShore,0.0
234,France,2010,Coal_p,electrolysis_AEL,0.0
235,France,2010,Coal_p,IntercoOut,0.0
236,France,2010,Coal_p,IntercoIn,0.0
237,France,2010,Coal_p,Solar,0.0
238,France,2010,Coal_p,Coal_p,0.0
239,France,2010,Coal_p,TAC_H2,0.0
240,France,2010,TAC_H2,OldNuke,0.0
241,France,2010,TAC_H2,curtailment,0.0
242,France,2010,TAC_H2,HydroRiver,0.0
243,France,2010,TAC_H2,HydroReservoir,0.0
244,France,2010,TAC_H2,CCG_H2,0.0
245,France,2010,TAC_H2,TAC,0.0
246,France,2010,TAC_H2,NewNuke,0.0
247,France,2010,TAC_H2,CCG,0.0
248,France,2010,TAC_H2,WindOffShore,0.0
249,France,2010,TAC_H2,WindOnShore,0.0
250,France,2010,TAC_H2,electrolysis_AEL,0.0
251,France,2010,TAC_H2,IntercoOut,0.0
252,France,2010,TAC_H2,IntercoIn,0.0
253,France,2010,TAC_H2,Solar,0.0
254,France,2010,TAC_H2,Coal_p,0.0
255,France,2010,TAC_H2,TAC_H2,0.0
256,France,2020,OldNuke,OldNuke,0.0
257,France,2020,OldNuke,curtailment,0.0
258,France,2020,OldNuke,HydroRiver,0.0
259,France,2020,OldNuke,HydroReservoir,0.0
260,France,2020,OldNuke,CCG_H2,0.0
261,France,2020,OldNuke,TAC,0.0
262,France,2020,OldNuke,NewNuke,0.0
263,France,2020,OldNuke,CCG,0.0
264,France,2020,OldNuke,WindOffShore,0.0
265,France,2020,OldNuke,WindOnShore,0.0
266,France,2020,OldNuke,electrolysis_AEL,0.0
267,France,2020,OldNuke,IntercoOut,0.0
268,France,2020,OldNuke,IntercoIn,0.0
269,France,2020,OldNuke,Solar,0.0
270,France,2020,OldNuke,Coal_p,0.0
271,France,2020,OldNuke,TAC_H2,0.0
272,France,2020,curtailment,OldNuke,0.0
273,France,2020,curtailment,curtailment,0.0
274,France,2020,curtailment,HydroRiver,0.0
275,France,2020,curtailment,HydroReservoir,0.0
276,France,2020,curtailment,CCG_H2,0.0
277,France,2020,curtailment,TAC,0.0
278,France,2020,curtailment,NewNuke,0.0
279,France,2020,curtailment,CCG,0.0
280,France,2020,curtailment,WindOffShore,0.0
281,France,2020,curtailment,WindOnShore,0.0
282,France,2020,curtailment,electrolysis_AEL,0.0
283,France,2020,curtailment,IntercoOut,0.0
284,France,2020,curtailment,IntercoIn,0.0
285,France,2020,curtailment,Solar,0.0
286,France,2020,curtailment,Coal_p,0.0
287,France,2020,curtailment,TAC_H2,0.0
288,France,2020,HydroRiver,OldNuke,0.0
289,France,2020,HydroRiver,curtailment,0.0
290,France,2020,HydroRiver,HydroRiver,0.0
291,France,2020,HydroRiver,HydroReservoir,0.0
292,France,2020,HydroRiver,CCG_H2,0.0
293,France,2020,HydroRiver,TAC,0.0
294,France,2020,HydroRiver,NewNuke,0.0
295,France,2020,HydroRiver,CCG,0.0
296,France,2020,HydroRiver,WindOffShore,0.0
297,France,2020,HydroRiver,WindOnShore,0.0
298,France,2020,HydroRiver,electrolysis_AEL,0.0
299,France,2020,HydroRiver,IntercoOut,0.0
300,France,2020,HydroRiver,IntercoIn,0.0
301,France,2020,HydroRiver,Solar,0.0
302,France,2020,HydroRiver,Coal_p,0.0
303,France,2020,HydroRiver,TAC_H2,0.0
304,France,2020,HydroReservoir,OldNuke,0.0
305,France,2020,HydroReservoir,curtailment,0.0
306,France,2020,HydroReservoir,HydroRiver,0.0
307,France,2020,HydroReservoir,HydroReservoir,0.0
308,France,2020,HydroReservoir,CCG_H2,0.0
309,France,2020,HydroReservoir,TAC,0.0
310,France,2020,HydroReservoir,NewNuke,0.0
311,France,2020,HydroReservoir,CCG,0.0
312,France,2020,HydroReservoir,WindOffShore,0.0
313,France,2020,HydroReservoir,WindOnShore,0.0
314,France,2020,HydroReservoir,electrolysis_AEL,0.0
315,France,2020,HydroReservoir,IntercoOut,0.0
316,France,2020,HydroReservoir,IntercoIn,0.0
317,France,2020,HydroReservoir,Solar,0.0
318,France,2020,HydroReservoir,Coal_p,0.0
319,France,2020,HydroReservoir,TAC_H2,0.0
320,France,2020,CCG_H2,OldNuke,0.0
321,France,2020,CCG_H2,curtailment,0.0
322,France,2020,CCG_H2,HydroRiver,0.0
323,France,2020,CCG_H2,HydroReservoir,0.0
324,France,2020,CCG_H2,CCG_H2,0.0
325,France,2020,CCG_H2,TAC,0.0
326,France,2020,CCG_H2,NewNuke,0.0
327,France,2020,CCG_H2,CCG,0.0
328,France,2020,CCG_H2,WindOffShore,0.0
329,France,2020,CCG_H2,WindOnShore,0.0
330,France,2020,CCG_H2,electrolysis_AEL,0.0
331,France,2020,CCG_H2,IntercoOut,0.0
332,France,2020,CCG_H2,IntercoIn,0.0
333,France,2020,CCG_H2,Solar,0.0
334,France,2020,CCG_H2,Coal_p,0.0
335,France,2020,CCG_H2,TAC_H2,0.0
336,France,2020,TAC,OldNuke,0.0
337,France,2020,TAC,curtailment,0.0
338,France,2020,TAC,HydroRiver,0.0
339,France,2020,TAC,HydroReservoir,0.0
340,France,2020,TAC,CCG_H2,0.0
341,France,2020,TAC,TAC,0.0
342,France,2020,TAC,NewNuke,0.0
343,France,2020,TAC,CCG,0.0
344,France,2020,TAC,WindOffShore,0.0
345,France,2020,TAC,WindOnShore,0.0
346,France,2020,TAC,electrolysis_AEL,0.0
347,France,2020,TAC,IntercoOut,0.0
348,France,2020,TAC,IntercoIn,0.0
349,France,2020,TAC,Solar,0.0
350,France,2020,TAC,Coal_p,0.0
351,France,2020,TAC,TAC_H2,0.0
352,France,2020,NewNuke,OldNuke,0.0
353,France,2020,NewNuke,curtailment,0.0
354,France,2020,NewNuke,HydroRiver,0.0
355,France,2020,NewNuke,HydroReservoir,0.0
356,France,2020,NewNuke,CCG_H2,0.0
357,France,2020,NewNuke,TAC,0.0
358,France,2020,NewNuke,NewNuke,0.0
359,France,2020,NewNuke,CCG,0.0
360,France,2020,NewNuke,WindOffShore,0.0
361,France,2020,NewNuke,WindOnShore,0.0
362,France,2020,NewNuke,electrolysis_AEL,0.0
363,France,2020,NewNuke,IntercoOut,0.0
364,France,2020,NewNuke,IntercoIn,0.0
365,France,2020,NewNuke,Solar,0.0
366,France,2020,NewNuke,Coal_p,0.0
367,France,2020,NewNuke,TAC_H2,0.0
368,France,2020,CCG,OldNuke,0.0
369,France,2020,CCG,curtailment,0.0
370,France,2020,CCG,HydroRiver,0.0
371,France,2020,CCG,HydroReservoir,0.0
372,France,2020,CCG,CCG_H2,0.0
373,France,2020,CCG,TAC,0.0
374,France,2020,CCG,NewNuke,0.0
375,France,2020,CCG,CCG,0.0
376,France,2020,CCG,WindOffShore,0.0
377,France,2020,CCG,WindOnShore,0.0
378,France,2020,CCG,electrolysis_AEL,0.0
379,France,2020,CCG,IntercoOut,0.0
380,France,2020,CCG,IntercoIn,0.0
381,France,2020,CCG,Solar,0.0
382,France,2020,CCG,Coal_p,0.0
383,France,2020,CCG,TAC_H2,0.0
384,France,2020,WindOffShore,OldNuke,0.0
385,France,2020,WindOffShore,curtailment,0.0
386,France,2020,WindOffShore,HydroRiver,0.0
387,France,2020,WindOffShore,HydroReservoir,0.0
388,France,2020,WindOffShore,CCG_H2,0.0
389,France,2020,WindOffShore,TAC,0.0
390,France,2020,WindOffShore,NewNuke,0.0
391,France,2020,WindOffShore,CCG,0.0
392,France,2020,WindOffShore,WindOffShore,0.0
393,France,2020,WindOffShore,WindOnShore,0.0
394,France,2020,WindOffShore,electrolysis_AEL,0.0
395,France,2020,WindOffShore,IntercoOut,0.0
396,France,2020,WindOffShore,IntercoIn,0.0
397,France,2020,WindOffShore,Solar,0.0
398,France,2020,WindOffShore,Coal_p,0.0
399,France,2020,WindOffShore,TAC_H2,0.0
400,France,2020,WindOnShore,OldNuke,0.0
401,France,2020,WindOnShore,curtailment,0.0
402,France,2020,WindOnShore,HydroRiver,0.0
403,France,2020,WindOnShore,HydroReservoir,0.0
404,France,2020,WindOnShore,CCG_H2,0.0
405,France,2020,WindOnShore,TAC,0.0
406,France,2020,WindOnShore,NewNuke,0.0
407,France,2020,WindOnShore,CCG,0.0
408,France,2020,WindOnShore,WindOffShore,0.0
409,France,2020,WindOnShore,WindOnShore,0.0
410,France,2020,WindOnShore,electrolysis_AEL,0.0
411,France,2020,WindOnShore,IntercoOut,0.0
412,France,2020,WindOnShore,IntercoIn,0.0
413,France,2020,WindOnShore,Solar,0.0
414,France,2020,WindOnShore,Coal_p,0.0
415,France,2020,WindOnShore,TAC_H2,0.0
416,France,2020,electrolysis_AEL,OldNuke,0.0
417,France,2020,electrolysis_AEL,curtailment,0.0
418,France,2020,electrolysis_AEL,HydroRiver,0.0
419,France,2020,electrolysis_AEL,HydroReservoir,0.0
420,France,2020,electrolysis_AEL,CCG_H2,0.0
421,France,2020,electrolysis_AEL,TAC,0.0
422,France,2020,electrolysis_AEL,NewNuke,0.0
423,France,2020,electrolysis_AEL,CCG,0.0
424,France,2020,electrolysis_AEL,WindOffShore,0.0
425,France,2020,electrolysis_AEL,WindOnShore,0.0
426,France,2020,electrolysis_AEL,electrolysis_AEL,0.0
427,France,2020,electrolysis_AEL,IntercoOut,0.0
428,France,2020,electrolysis_AEL,IntercoIn,0.0
429,France,2020,electrolysis_AEL,Solar,0.0
430,France,2020,electrolysis_AEL,Coal_p,0.0
431,France,2020,electrolysis_AEL,TAC_H2,0.0
432,France,2020,IntercoOut,OldNuke,0.0
433,France,2020,IntercoOut,curtailment,0.0
434,France,2020,IntercoOut,HydroRiver,0.0
435,France,2020,IntercoOut,HydroReservoir,0.0
436,France,2020,IntercoOut,CCG_H2,0.0
437,France,2020,IntercoOut,TAC,0.0
438,France,2020,IntercoOut,NewNuke,0.0
439,France,2020,IntercoOut,CCG,0.0
440,France,2020,IntercoOut,WindOffShore,0.0
441,France,2020,IntercoOut,WindOnShore,0.0
442,France,2020,IntercoOut,electrolysis_AEL,0.0
443,France,2020,IntercoOut,IntercoOut,0.0
444,France,2020,IntercoOut,IntercoIn,0.0
445,France,2020,IntercoOut,Solar,0.0
446,France,2020,IntercoOut,Coal_p,0.0
447,France,2020,IntercoOut,TAC_H2,0.0
448,France,2020,IntercoIn,OldNuke,0.0
449,France,2020,IntercoIn,curtailment,0.0
450,France,2020,IntercoIn,HydroRiver,0.0
451,France,2020,IntercoIn,HydroReservoir,0.0
452,France,2020,IntercoIn,CCG_H2,0.0
453,France,2020,IntercoIn,TAC,0.0
454,France,2020,IntercoIn,NewNuke,0.0
455,France,2020,IntercoIn,CCG,0.0
456,France,2020,IntercoIn,WindOffShore,0.0
457,France,2020,IntercoIn,WindOnShore,0.0
458,France,2020,IntercoIn,electrolysis_AEL,0.0
459,France,2020,IntercoIn,IntercoOut,0.0
460,France,2020,IntercoIn,IntercoIn,0.0
461,France,2020,IntercoIn,Solar,0.0
462,France,2020,IntercoIn,Coal_p,0.0
463,France,2020,IntercoIn,TAC_H2,0.0
464,France,2020,Solar,OldNuke,0.0
465,France,2020,Solar,curtailment,0.0
466,France,2020,Solar,HydroRiver,0.0
467,France,2020,Solar,HydroReservoir,0.0
468,France,2020,Solar,CCG_H2,0.0
469,France,2020,Solar,TAC,0.0
470,France,2020,Solar,NewNuke,0.0
471,France,2020,Solar,CCG,0.0
472,France,2020,Solar,WindOffShore,0.0
473,France,2020,Solar,WindOnShore,0.0
474,France,2020,Solar,electrolysis_AEL,0.0
475,France,2020,Solar,IntercoOut,0.0
476,France,2020,Solar,IntercoIn,0.0
477,France,2020,Solar,Solar,0.0
478,France,2020,Solar,Coal_p,0.0
479,France,2020,Solar,TAC_H2,0.0
480,France,2020,Coal_p,OldNuke,0.0
481,France,2020,Coal_p,curtailment,0.0
482,France,2020,Coal_p,HydroRiver,0.0
483,France,2020,Coal_p,HydroReservoir,0.0
484,France,2020,Coal_p,CCG_H2,0.0
485,France,2020,Coal_p,TAC,0.0
486,France,2020,Coal_p,NewNuke,0.0
487,France,2020,Coal_p,CCG,0.0
488,France,2020,Coal_p,WindOffShore,0.0
489,France,2020,Coal_p,WindOnShore,0.0
490,France,2020,Coal_p,electrolysis_AEL,0.0
491,France,2020,Coal_p,IntercoOut,0.0
492,France,2020,Coal_p,IntercoIn,0.0
493,France,2020,Coal_p,Solar,0.0
494,France,2020,Coal_p,Coal_p,0.0
495,France,2020,Coal_p,TAC_H2,0.0
496,France,2020,TAC_H2,OldNuke,0.0
497,France,2020,TAC_H2,curtailment,0.0
498,France,2020,TAC_H2,HydroRiver,0.0
499,France,2020,TAC_H2,HydroReservoir,0.0
500,France,2020,TAC_H2,CCG_H2,0.0
501,France,2020,TAC_H2,TAC,0.0
502,France,2020,TAC_H2,NewNuke,0.0
503,France,2020,TAC_H2,CCG,0.0
504,France,2020,TAC_H2,WindOffShore,0.0
505,France,2020,TAC_H2,WindOnShore,0.0
506,France,2020,TAC_H2,electrolysis_AEL,0.0
507,France,2020,TAC_H2,IntercoOut,0.0
508,France,2020,TAC_H2,IntercoIn,0.0
509,France,2020,TAC_H2,Solar,0.0
510,France,2020,TAC_H2,Coal_p,0.0
511,France,2020,TAC_H2,TAC_H2,0.0
512,France,2030,OldNuke,OldNuke,0.0
513,France,2030,OldNuke,curtailment,0.0
514,France,2030,OldNuke,HydroRiver,0.0
515,France,2030,OldNuke,HydroReservoir,0.0
516,France,2030,OldNuke,CCG_H2,0.0
517,France,2030,OldNuke,TAC,0.0
518,France,2030,OldNuke,NewNuke,0.0
519,France,2030,OldNuke,CCG,0.0
520,France,2030,OldNuke,WindOffShore,0.0
521,France,2030,OldNuke,WindOnShore,0.0
