YEAR_op;CCS1;CCS2;SMR w/o CCUS;SMR + CCUS 50%;SMR + CCUS 90%;Solar;WindOffShore_flot;WindOnShore;curtailment;Alkaline electrolysis;PEM electrolysis;importsH2;importBM;import_elec;eSMR w/o CCUS;eSMR + CCUS 50%;Methane cracking;total_carbon;feedBiogas;feedRE;loadFac_elec;loadFac_SMR;loadFac_SMR+CCS50;loadFac_SMR+CCS90;carbon;totalProd;total_costs;costs;scenario;;
2040;0;0;0;0;0;164,9239;0;267,5771;0;4540,349666;4,48E-18;1350,865296;0;6604,256808;0;0;0;3026353,881;0;280,8448052;0,278104951;0;0;0;0,017123541;5891,214962;555469126,5;3,142923433;woSMR_2040;;
2050;0;0;0;0;0;247,38585;4078,365;401,36565;0;6079,609675;0;534,1903253;0;4670,804968;0;0;0;1289391,724;0;3069,556169;0,37238752;0;0;0;0,006498492;6613,8;617266731,4;3,111003918;woSMR_2040;;
2020;0;0;3595,237309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;936678428,5;0;0;0;0,998577173;0;0;8,684437659;3595,237309;165079658,6;1,530540216;woSMR_2050;;
2030;0;0;3600,36;1001,847712;0;-2,31E-14;0;1,32E-15;0;-6,33E-15;-1,27E-15;-6,35E-16;0;9,99E-15;0;0;0;1056808655;0;-1,41E-14;0;1;1;0;7,654360118;4602,207712;322163618,7;2,33339909;woSMR_2050;;
2040;0;0;1649,167311;880,1890929;-2,84E-17;82,46195;0;267,5771;0;3324,575808;4,26E-17;37,28274911;0;4800,862462;0;0;0;536031669,2;0;227,2980844;0,28410696;0,458056225;0,878565756;0;3,032943531;5891,214962;422536691,5;2,390772782;woSMR_2050;;
2050;0;0;0;0;0;247,38585;4078,365;401,36565;0;6062,220207;-3,16E-33;551,5797932;0;4643,351337;0;0;0;1264685,379;0;3069,556169;0,387461936;0;0;0;0,006373972;6613,8;612026346,7;3,084592552;woSMR_2050;;
2020;0;0;3595,237309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;936678428,5;0;0;0;0,998577173;0;0;8,684437659;3595,237309;165079658,6;1,530540216;CO2_10;;
2030;0;0;1001,847712;3600,36;0;0;0;0;0;0;0;0;0;0;0;0;0;688186290,5;0;0;0;0,55652641;1;0;4,984464946;4602,207712;307822710,1;2,229529314;CO2_10;;
2040;0;0;0;5400,54;490,6749617;0;0;0;0;0;0;0;0;0;0;0;0;652980815;0;0;0;0;1;1;3,694658455;5891,214962;396413933,3;2,242966495;CO2_10;;
2050;0;0;0;3385,96256;507,316525;164,9239;0;267,5771;0;2709,351572;0;11,16934311;508,2193651;3752,866818;0;0;0;311775942;385,0146705;280,8448052;0,319619764;0;0,626967407;0,889048337;1,57134044;6613,8;487381661,7;2,456387461;CO2_10;;
2020;0;0;3595,237309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;936678428,5;0;0;0;0,998577173;0;0;8,684437659;3595,237309;165079658,6;1,530540216;CO2_100;;
2030;0;0;4602,207712;0;0;3,91E-15;-3,02E-17;-1,12E-16;0;5,11E-16;4,41E-16;0;0;-2,27E-15;0;0;0;1198929773;0;2,45E-15;0;0,85217547;0;0;8,683729262;4602,207712;336032151;2,433847493;CO2_100;;
2040;0;0;3189,18892;0;0;15,14215199;0;133,78855;0;2699,431061;1,06E-07;2,594981183;0;4026,631209;0;0;0;832452009,1;0;96,70824804;0,278306959;0,590531488;0;0;4,710132033;5891,214962;431988877,8;2,444254598;CO2_100;;
2050;0;0;2357,917205;0;0;180,066052;0;401,36565;0;4204,529402;0;51,35339338;414,1651502;5929,637219;0;0;0;531392694;323,5665236;377,5530532;0,287419401;0,464660234;0;0;2,678201609;6613,8;540189051;2,722534957;CO2_100;;
2020;0;0;3595,237309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;936678428,5;0;0;0;0,998577173;0;0;8,684437659;3595,237309;165079658,6;1,530540216;Cavern;;
2030;0;0;1386,339412;3215,868301;0;0;0;1,40E-16;0;-4,71E-17;-4,57E-16;2,40E-19;0;-9,86E-16;0;0;0;742729899,9;0;9,12E-17;0;1;1;0;5,379518891;4602,207712;318765552,8;2,308787236;Cavern;;
2040;0;0;634,5513596;2960,157339;0;0;0;26,35794373;0;2296,506263;-7,56E-33;0;0;3533,772624;0;0;0;517937511,1;0;17,11554787;0,277624389;0,457717175;0,920484629;0;2,930564207;5891,214962;412166616,8;2,332097422;Cavern;;
2050;0;0;0;1182,135465;0;164,9239;0;293,9350437;0;5431,664535;0;0;279,6043302;7965,508399;0;0;0;85155852,42;211,8214623;297,9603531;0,303892142;0;0,367594489;0;0,429182681;6613,8;484512505,4;2,441927008;Cavern;;
2020;0;0;3595,237309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;936678428,5;0;0;0;0,998577173;0;0;8,684437659;3595,237309;165079658,6;1,530540216;CavernREinf;;
2030;0;0;3600,36;1001,847712;0;0;0;0;0;1,75E-30;-2,07E-27;-9,66E-16;0;3,60E-25;0;0;0;1056808655;0;0;0;1;1;0;7,654360118;4602,207712;322163618,7;2,33339909;CavernREinf;;
2040;0;0;2190,726093;934,1238045;0;0;0;24,25972181;0;2766,365064;0;0;0;4263,07858;0;0;0;683266166,9;0;15,75306611;0,278354258;0,608474178;0,932400996;0;3,866017289;5891,214962;416866861,6;2,358692077;CavernREinf;;
2050;0;0;0;402,6406309;0;465,6791711;0;3586,782947;0;6211,159369;0;0;87,10585521;5557,02245;0;0;0;31312238,45;65,98928425;2631,468908;0,41916558;0;0,401898039;0;0,157812647;6613,8;462945049,1;2,333227742;CavernREinf;;
2020;0;0;3595,237309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;936678428,5;0;0;0;0,998577173;0;0;8,684437659;3595,237309;165079658,6;1,530540216;Cavern2040;;
2030;0;0;1324,416989;3277,790723;0;0;0;0;0;1,99E-16;-3,21E-29;5,68E-17;0;3,06E-16;0;0;0;733945646,8;0;0;0;1;1;0;5,315895418;4602,207712;317986871,1;2,303147322;Cavern2040;;
2040;0;0;508,0148808;3008,353829;0;0;0;149,2019218;0;2374,846252;-8,95E-19;0;0;3532,203944;0;0;0;490698612,4;0;96,88436477;0,282523251;0,383576234;0,917799238;0;2,776442639;5891,214962;411875860,6;2,330452283;Cavern2040;;
2050;0;0;0;1109,926821;0;164,9239;0;401,36565;0;5503,873179;0;0;284,9881879;7970,049661;0;0;0;75506373,41;215,9001424;367,720487;0,305041574;0;0,338620405;0;0,380549626;6613,8;487434086,4;2,45665168;Cavern2040;;
2020;0;0;3595,237309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;936678428,5;0;0;0;0,998577173;0;0;8,684437659;3595,237309;165079658,6;1,530540216;gas_x1;;
2030;0;0;0;4602,207712;0;0;0;0;0;0;0;0;0;0;0;0;0;546065172;0;0;0;0;1;0;3,955095802;4602,207712;233938874;1,694396028;gas_x1;;
2040;0;0;0;4602,207712;1289,007249;0;0;0;0;0;0;0;0;0;0;0;0;578301682,7;0;0;0;0;1;1;3,272113288;5891,214962;328754239,3;1,86013831;gas_x1;;
2050;0;0;0;4602,207712;2011,592288;0;0;0;0;0;0;0;0;0;0;0;0;596354555,5;0;0;0;0;1;1;3,005607243;6613,8;432955877;2,182083306;gas_x1;;
2020;0;0;3595,237309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;936678428,5;0;0;0;0,998577173;0;0;8,684437659;3595,237309;165079658,6;1,530540216;gas_x5;;
2030;0;0;1816,435384;0;0;82,46195;0;267,5771;0;2680,548804;-2,70E-16;105,2235243;1100,293958;3794,796656;0;0;0;260598009;842,4125616;227,2980844;0,359467823;0,504514933;0;0;1,887485494;4602,207712;486620265,6;3,524542249;gas_x5;;
2040;0;0;1173,960463;0;0;247,38585;0;401,36565;0;4626,30054;0;90,95395897;1371,43696;6520,103745;0;0;0;29583434,54;1060,720774;421,2672078;0,297438853;0,305380431;0;0;0,167387286;5891,214962;497298015,3;2,813783;gas_x5;;
2050;0;0;1145,289681;98,41618535;0;247,38585;1269,022536;401,36565;0;5350,404299;0;19,68983558;1531,658985;6365,054883;0;0;0;-5,17E-07;1195,053464;1245,307815;0,331668912;0,305999368;0,506502957;0;0;6613,8;574978192,8;2,897871082;gas_x5;;
2020;0;0;3595,237309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;936678428,5;0;0;0;0,998577173;0;0;8,684437659;3595,237309;165079658,6;1,530540216;import_H2;;
2030;0;0;3600,36;1001,847712;0;0;0;2,16E-14;0;1,01E-14;1,30E-15;-8,98E-16;0;-4,06E-15;0;0;0;1056808655;0;1,40E-14;0;1;1;0;7,654360118;4602,207712;322163618,7;2,33339909;import_H2;;
2040;0;0;1443,001708;846,2813064;0;0;0;0;0;2103,167638;8,57E-16;1498,76431;0;3252,164207;0;0;0;477685844,8;0;0;0,283124047;0,498850795;0,844720506;0;2,702814546;5891,214962;407487336,4;2,305621387;import_H2;;
2050;0;0;0;0;2,59E-14;0;0;0;0;2480,426281;-1,80E-15;4133,373719;0;3827,491107;0;0;0;876122,9955;0;0;0,301269189;0;0;0;0,004415631;6613,8;400177224,5;2,016879981;import_H2;;
2020;0;0;3595,237309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;936678428,5;0;0;0;0,998577173;0;0;8,684437659;3595,237309;165079658,6;1,530540216;cheap_H2;;
2030;0;0;0;0;0;2,24E-14;-5,06E-16;-4,42E-16;0;2,90E-15;2,89E-15;4602,207712;0;-1,23E-14;0;0;0;47939,66367;0;1,39E-14;0;0;0;0;0,000347222;4602,207712;276138035,7;2,000040365;cheap_H2;;
2040;0;0;0;6,76E-17;0;0;0;0;0;1544,090132;-9,39E-17;4347,12483;0;2377,898803;0;0;0;1040050,512;0;0;0,262100457;0;0;0;0,005884754;5891,214962;344255453,2;1,947846386;cheap_H2;;
2050;0;0;-7,87E-30;-3,40E-17;-2,01E-16;0;0;0;0;2085,31;3,04E-17;4528,49;0;3211,3774;0;0;0;710522,3208;-3,37E-16;0;0,315296804;0;0;0;0,003581009;6613,8;376062138,2;1,895340743;cheap_H2;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;totalProd;total_costs;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;3595,237309;165079658,6;2,292792367;1423993267;;
;;;;;;;;;;;;;;;;;;;;;;;;;;4602,207712;315556337,7;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;5891,214962;430014952,9;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;6613,8;513342317,8;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;2030;3595,237309;165079658,6;3,031331772;1882680741;;0,738539405
;;;;;;;;;;;;;;;;;;;;;;;;;;4602,207712;537642237,2;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;5891,214962;576842482,6;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;6613,8;603116362,9;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;2040;3595,237309;165079658,6;2,675716959;1661817698;;
;;;;;;;;;;;;;;;;;;;;;;;;;;4602,207712;324002181,8;;;;14460737,11
;;;;;;;;;;;;;;;;;;;;;;;;;;5891,214962;555469126,5;;;;458687474,3
;;;;;;;;;;;;;;;;;;;;;;;;;;6613,8;617266731,4;;;;31,71950853
;;;;;;;;;;;;;;;;;;;;;;;;;2050;3595,237309;165079658,6;2,450282586;1521806316;;
;;;;;;;;;;;;;;;;;;;;;;;;;;4602,207712;322163618,7;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;5891,214962;422536691,5;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;6613,8;612026346,7;;;;
