YEAR_op,SMR w/o CCUS,SMR + CCUS 50%,SMR + CCUS 90%,feedBiogas,Alkaline electrolysis,PEM electrolysis,importsH2,importBM,curtailment,totalProd,carbon,total_carbon,costs,total_costs,scenario,order
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.530540215963755,165079658.6339638,scenario_0.05_PACA,3
2030,-8.244020769403597e-17,4602.207712339371,0.0,-2.498188111940491e-18,1.4171504240508579e-14,6.486605235881968e-16,3.669339011069673e-18,0.0,0.0,4602.207712339371,3.955095801526128,546065172.0247384,2.344518067162352,323698773.91240716,scenario_0.05_PACA,3
2040,35.2725019140804,5841.050535018478,0.0,0.0,14.859972618764509,1.3400745789105035e-20,0.03195219481167501,0.0,0.0,5891.214961746135,3.972734266293798,702126946.4589473,2.526710538628271,446561847.87505513,scenario_0.05_PACA,3
2050,0.0,3651.2007238799697,0.0,373.36409433022163,2935.7246655682866,0.0,26.874610551472337,492.8406045158926,0.0,6613.799999999728,1.6822216139800727,333776319.31622845,2.751001713024607,545837253.888042,scenario_0.05_PACA,3
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159637065,165079658.63395855,scenario_0.06_PACA,4
2030,4602.207712339371,0.0,0.0,0.0,-4.458824414467887e-31,-1.9865736264761012e-31,-2.4708432033951424e-17,0.0,0.0,4602.207712339371,8.683729262085302,1198929773.4550817,2.390250925404303,330012937.2996601,scenario_0.06_PACA,4
2040,0.0,5891.214961746644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5891.214961746644,3.954365267175497,698880474.7858666,2.6139193791524327,461974828.6578693,scenario_0.06_PACA,4
2050,15.66526103797352,3871.677478663229,0.0,380.96498242633277,2660.87266950619,-1.5908657192348994e-31,65.58459079283938,502.2471663612403,0.0,6613.800000000232,1.824718239640018,362049644.7999472,2.947814464285646,584887659.1167927,scenario_0.06_PACA,4
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159637391,165079658.6339621,scenario_0.07_PACA,5
2030,4602.207712339371,0.0,0.0,0.0,2.1063451839452888e-14,1.7002167731769317e-14,6.352507449654481e-17,0.0,0.0,4602.207712339371,8.683729262085302,1198929773.4550817,2.417620045464737,333791688.56232226,scenario_0.07_PACA,5
2040,1710.1903246646527,4181.024637080852,0.0,0.0,3.460145929007407e-14,-1.0127709899511536e-15,1.4305366984534776e-15,0.0,0.0,5891.214961745504,5.327070406067806,941487506.3549508,2.727216049927487,481998479.9173586,scenario_0.07_PACA,5
2050,393.049028336362,3165.3640605889022,0.0,344.3687216508313,2844.8729863315757,-1.5838514858864648e-19,210.5139247429317,440.79196371306404,0.0,6613.799999999771,1.9613226350033666,389153869.3015445,3.1246407060362698,619972461.047459,scenario_0.07_PACA,5
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159637602,165079658.63396436,scenario_0.08_PACA,6
2030,4602.207712339371,0.0,0.0,0.0,-1.9601841916673692e-14,-1.9091404633753007e-14,4.9764991825550243e-17,0.0,0.0,4602.207712339371,8.683729262085302,1198929773.4550817,2.449291838121551,338164493.6151863,scenario_0.08_PACA,6
2040,5891.214961746644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5891.214961746644,8.683020865140263,1534606273.0161781,2.8112100849539208,496843287.3928077,scenario_0.08_PACA,6
2050,2878.9052031434335,0.0,0.0,292.6464148418926,3399.3956621943926,-1.0345886196194559e-29,335.49913466248944,374.5874109976225,0.0,6613.800000000315,3.401522587436968,674909702.6637508,3.319363268427855,658608143.5418758,scenario_0.08_PACA,6
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.5305402159636607,165079658.63395363,scenario_0.09_PACA,7
2030,4602.207712339371,0.0,0.0,0.0,5.2793745338423865e-15,4.492581377765927e-15,2.000307757593438e-16,0.0,0.0,4602.207712339371,8.683729262085302,1198929773.4550817,2.485729838940226,343195351.0668843,scenario_0.09_PACA,7
2040,5891.214961746644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5891.214961746644,8.683020865140263,1534606273.0161781,2.8762997101237007,508346996.60244834,scenario_0.09_PACA,7
2050,3026.637597893325,0.0,0.0,295.28594382932806,3235.423744261232,2.821914240501664e-30,351.7386578449973,377.9660081015399,0.0,6613.799999999554,3.591554224880467,712614639.975385,3.5322761218466856,700853034.4400411,scenario_0.09_PACA,7
2020,3595.237309288123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3595.237309288123,8.684437659033595,936678428.4583316,1.530540215963842,165079658.63397318,scenario_0.1_PACA,8
2030,4602.207712339371,0.0,0.0,0.0,-4.769456018391143e-15,-6.181411596615538e-15,-1.7832513337944232e-16,0.0,0.0,4602.207712339371,8.683729262085302,1198929773.4550817,2.5274308521152564,348952852.8002791,scenario_0.1_PACA,8
