YEAR_op;totalProd;total_carbon;total_costs;scenario;;;;;;;;;
2030;4602,207712;13350227,73;550943471,3;BM_90_TC200_woSMR;;;;3,07556779;;;;;
2040;5891,214962;2940030,354;581291679,6;BM_90_TC200_woSMR;;;;;;;;;
2050;6613,8;1253880,062;604643827,4;BM_90_TC200_woSMR;;;;;;;;;
2020;3595,237309;936678428,5;165079658,6;BM_90_CCS10;;621073799,5;2166147407;1326475315;;;;;
2030;4602,207712;452350571,4;287133516,8;BM_90_CCS10;;;;2,135777289;0,926022227;;;;
2040;5891,214962;484584919,7;390854139,4;BM_90_CCS10;;;;;;;;;
2050;6613,8;292533487,4;483408000,6;BM_90_CCS10;;;;;;;;;
2020;3595,237309;936678428,5;165079658,6;BM_90_CCS10_woSMR;;621073799,5;954252208,6;1901603459;;;;;
2030;4602,207712;13370327,82;550709571,7;BM_90_CCS10_woSMR;;;;3,061799516;;;;;
2040;5891,214962;2942404,222;581214491,5;BM_90_CCS10_woSMR;;;;;;;;;
2050;6613,8;1261048,087;604599736,8;BM_90_CCS10_woSMR;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;0,122183923;0,05850821;0,207052454;0,103956717
