,AREA,YEAR_op,TIMESTAMP,STOCK_TECHNO,stockLevel_Pvar
338,Marseille,2020,113,tankH2_G,-0.0
339,Marseille,2020,114,Battery,0.0
340,Marseille,2020,114,saltCavernH2_G,-0.0
341,Marseille,2020,114,tankH2_G,-0.0
342,Marseille,2020,115,Battery,0.0
343,Marseille,2020,115,saltCavernH2_G,-0.0
344,Marseille,2020,115,tankH2_G,-0.0
345,Marseille,2020,116,Battery,0.0
346,Marseille,2020,116,saltCavernH2_G,-0.0
347,Marseille,2020,116,tankH2_G,-0.0
348,Marseille,2020,117,Battery,0.0
349,Marseille,2020,117,saltCavernH2_G,-0.0
350,Marseille,2020,117,tankH2_G,-0.0
351,Marseille,2020,118,Battery,0.0
352,Marseille,2020,118,saltCavernH2_G,-0.0
353,Marseille,2020,118,tankH2_G,-0.0
354,Marseille,2020,119,Battery,0.0
355,Marseille,2020,119,saltCavernH2_G,-0.0
356,Marseille,2020,119,tankH2_G,-0.0
357,Marseille,2020,120,Battery,0.0
358,Marseille,2020,120,saltCavernH2_G,-0.0
359,Marseille,2020,120,tankH2_G,-0.0
360,Marseille,2020,121,Battery,0.0
361,Marseille,2020,121,saltCavernH2_G,-0.0
362,Marseille,2020,121,tankH2_G,-0.0
363,Marseille,2020,122,Battery,0.0
364,Marseille,2020,122,saltCavernH2_G,-0.0
365,Marseille,2020,122,tankH2_G,-0.0
366,Marseille,2020,123,Battery,0.0
367,Marseille,2020,123,saltCavernH2_G,-0.0
368,Marseille,2020,123,tankH2_G,-0.0
369,Marseille,2020,124,Battery,0.0
370,Marseille,2020,124,saltCavernH2_G,-0.0
371,Marseille,2020,124,tankH2_G,-0.0
372,Marseille,2020,125,Battery,0.0
373,Marseille,2020,125,saltCavernH2_G,-0.0
374,Marseille,2020,125,tankH2_G,-0.0
375,Marseille,2020,126,Battery,0.0
376,Marseille,2020,126,saltCavernH2_G,-0.0
377,Marseille,2020,126,tankH2_G,-0.0
378,Marseille,2020,127,Battery,0.0
379,Marseille,2020,127,saltCavernH2_G,-0.0
380,Marseille,2020,127,tankH2_G,-0.0
381,Marseille,2020,128,Battery,0.0
382,Marseille,2020,128,saltCavernH2_G,-0.0
383,Marseille,2020,128,tankH2_G,-0.0
384,Marseille,2020,129,Battery,0.0
385,Marseille,2020,129,saltCavernH2_G,-0.0
386,Marseille,2020,129,tankH2_G,-0.0
387,Marseille,2020,130,Battery,0.0
388,Marseille,2020,130,saltCavernH2_G,-0.0
389,Marseille,2020,130,tankH2_G,-0.0
390,Marseille,2020,131,Battery,0.0
391,Marseille,2020,131,saltCavernH2_G,-0.0
392,Marseille,2020,131,tankH2_G,-0.0
393,Marseille,2020,132,Battery,0.0
394,Marseille,2020,132,saltCavernH2_G,-0.0
395,Marseille,2020,132,tankH2_G,-0.0
396,Marseille,2020,133,Battery,0.0
397,Marseille,2020,133,saltCavernH2_G,-0.0
398,Marseille,2020,133,tankH2_G,-0.0
399,Marseille,2020,134,Battery,0.0
