TIMESTAMP,RESOURCES,importCost,emission
567,gazNat,20.12,203.5
568,gazNat,20.12,203.5
569,gazNat,20.12,203.5
570,gazNat,20.12,203.5
571,gazNat,20.12,203.5
572,gazNat,20.12,203.5
573,gazNat,20.12,203.5
574,gazNat,20.12,203.5
575,gazNat,20.12,203.5
576,gazNat,20.12,203.5
577,gazNat,20.12,203.5
578,gazNat,20.12,203.5
579,gazNat,20.12,203.5
580,gazNat,20.12,203.5
581,gazNat,20.12,203.5
582,gazNat,20.12,203.5
583,gazNat,20.12,203.5
584,gazNat,20.12,203.5
585,gazNat,20.12,203.5
586,gazNat,20.12,203.5
587,gazNat,20.12,203.5
588,gazNat,20.12,203.5
589,gazNat,20.12,203.5
590,gazNat,20.12,203.5
591,gazNat,20.12,203.5
592,gazNat,20.12,203.5
593,gazNat,20.12,203.5
594,gazNat,20.12,203.5
595,gazNat,20.12,203.5
596,gazNat,20.12,203.5
597,gazNat,20.12,203.5
598,gazNat,20.12,203.5
599,gazNat,20.12,203.5
600,gazNat,20.12,203.5
601,gazNat,20.12,203.5
602,gazNat,20.12,203.5
603,gazNat,20.12,203.5
604,gazNat,20.12,203.5
605,gazNat,20.12,203.5
606,gazNat,20.12,203.5
607,gazNat,20.12,203.5
608,gazNat,20.12,203.5
609,gazNat,20.12,203.5
610,gazNat,20.12,203.5
611,gazNat,20.12,203.5
612,gazNat,20.12,203.5
613,gazNat,20.12,203.5
614,gazNat,20.12,203.5
615,gazNat,20.12,203.5
616,gazNat,20.12,203.5
617,gazNat,20.12,203.5
618,gazNat,20.12,203.5
619,gazNat,20.12,203.5
620,gazNat,20.12,203.5
621,gazNat,20.12,203.5
622,gazNat,20.12,203.5
623,gazNat,20.12,203.5
624,gazNat,20.12,203.5
625,gazNat,20.12,203.5
626,gazNat,21.06,203.5
627,gazNat,21.06,203.5
628,gazNat,21.06,203.5
629,gazNat,21.06,203.5
630,gazNat,21.06,203.5
631,gazNat,21.06,203.5
632,gazNat,21.06,203.5
633,gazNat,21.06,203.5
634,gazNat,21.06,203.5
635,gazNat,21.06,203.5
636,gazNat,21.06,203.5
637,gazNat,21.06,203.5
638,gazNat,21.06,203.5
639,gazNat,21.06,203.5
640,gazNat,21.06,203.5
641,gazNat,21.06,203.5
642,gazNat,21.06,203.5
643,gazNat,21.06,203.5
644,gazNat,21.06,203.5
645,gazNat,21.06,203.5
646,gazNat,21.06,203.5
647,gazNat,21.06,203.5
648,gazNat,21.06,203.5
649,gazNat,21.06,203.5
650,gazNat,19.53,203.5
651,gazNat,19.53,203.5
652,gazNat,19.53,203.5
653,gazNat,19.53,203.5
654,gazNat,19.53,203.5
655,gazNat,19.53,203.5
656,gazNat,19.53,203.5
657,gazNat,19.53,203.5
658,gazNat,19.53,203.5
659,gazNat,19.53,203.5
660,gazNat,19.53,203.5
661,gazNat,19.53,203.5
662,gazNat,19.53,203.5
663,gazNat,19.53,203.5
664,gazNat,19.53,203.5
665,gazNat,19.53,203.5
666,gazNat,19.53,203.5
667,gazNat,19.53,203.5
668,gazNat,19.53,203.5
669,gazNat,19.53,203.5
670,gazNat,19.53,203.5
671,gazNat,19.53,203.5
672,gazNat,19.53,203.5
673,gazNat,19.53,203.5
674,gazNat,19.53,203.5
675,gazNat,19.53,203.5
676,gazNat,19.53,203.5
677,gazNat,19.53,203.5
678,gazNat,19.53,203.5
679,gazNat,19.53,203.5
680,gazNat,19.53,203.5
681,gazNat,19.53,203.5
682,gazNat,19.53,203.5
683,gazNat,19.53,203.5
684,gazNat,19.53,203.5
685,gazNat,19.53,203.5
686,gazNat,19.53,203.5
687,gazNat,19.53,203.5
688,gazNat,19.53,203.5
689,gazNat,19.53,203.5
690,gazNat,19.53,203.5
691,gazNat,19.53,203.5
692,gazNat,19.53,203.5
693,gazNat,19.53,203.5
694,gazNat,19.53,203.5
695,gazNat,19.53,203.5
696,gazNat,19.53,203.5
697,gazNat,19.53,203.5
698,gazNat,18.89,203.5
699,gazNat,18.89,203.5
700,gazNat,18.89,203.5
701,gazNat,18.89,203.5
702,gazNat,18.89,203.5
703,gazNat,18.89,203.5
704,gazNat,18.89,203.5
705,gazNat,18.89,203.5
706,gazNat,18.89,203.5
707,gazNat,18.89,203.5
708,gazNat,18.89,203.5
709,gazNat,18.89,203.5
710,gazNat,18.89,203.5
711,gazNat,18.89,203.5
712,gazNat,18.89,203.5
713,gazNat,18.89,203.5
714,gazNat,18.89,203.5
715,gazNat,18.89,203.5
716,gazNat,18.89,203.5
717,gazNat,18.89,203.5
718,gazNat,18.89,203.5
719,gazNat,18.89,203.5
720,gazNat,18.89,203.5
721,gazNat,18.89,203.5
722,gazNat,18.89,203.5
723,gazNat,18.89,203.5
724,gazNat,18.89,203.5
725,gazNat,18.89,203.5
726,gazNat,18.89,203.5
727,gazNat,18.89,203.5
728,gazNat,18.89,203.5
729,gazNat,18.89,203.5
730,gazNat,18.89,203.5
731,gazNat,18.89,203.5
732,gazNat,18.89,203.5
733,gazNat,18.89,203.5
734,gazNat,18.89,203.5
735,gazNat,18.89,203.5
736,gazNat,18.89,203.5
737,gazNat,18.89,203.5
738,gazNat,18.89,203.5
739,gazNat,18.89,203.5
740,gazNat,18.89,203.5
741,gazNat,18.89,203.5
742,gazNat,18.89,203.5
743,gazNat,18.89,203.5
744,gazNat,18.89,203.5
745,gazNat,18.89,203.5
746,gazNat,19.94,203.5
747,gazNat,19.94,203.5
748,gazNat,19.94,203.5
749,gazNat,19.94,203.5
750,gazNat,19.94,203.5
751,gazNat,19.94,203.5
752,gazNat,19.94,203.5
753,gazNat,19.94,203.5
754,gazNat,19.94,203.5
755,gazNat,19.94,203.5
756,gazNat,19.94,203.5
757,gazNat,19.94,203.5
758,gazNat,19.94,203.5
759,gazNat,19.94,203.5
760,gazNat,19.94,203.5
761,gazNat,19.94,203.5
762,gazNat,19.94,203.5
763,gazNat,19.94,203.5
764,gazNat,19.94,203.5
765,gazNat,19.94,203.5
766,gazNat,19.94,203.5
767,gazNat,19.94,203.5
768,gazNat,19.94,203.5
769,gazNat,19.94,203.5
770,gazNat,19.94,203.5
771,gazNat,19.94,203.5
772,gazNat,19.94,203.5
773,gazNat,19.94,203.5
774,gazNat,19.94,203.5
775,gazNat,19.94,203.5
776,gazNat,19.94,203.5
777,gazNat,19.94,203.5
778,gazNat,19.94,203.5
779,gazNat,19.94,203.5
780,gazNat,19.94,203.5
781,gazNat,19.94,203.5
782,gazNat,19.94,203.5
783,gazNat,19.94,203.5
784,gazNat,19.94,203.5
785,gazNat,19.94,203.5
786,gazNat,19.94,203.5
787,gazNat,19.94,203.5
788,gazNat,19.94,203.5
789,gazNat,19.94,203.5
790,gazNat,19.94,203.5
791,gazNat,19.94,203.5
792,gazNat,19.94,203.5
793,gazNat,19.94,203.5
794,gazNat,18.14,203.5
795,gazNat,18.14,203.5
796,gazNat,18.14,203.5
797,gazNat,18.14,203.5
798,gazNat,18.14,203.5
799,gazNat,18.14,203.5
800,gazNat,18.14,203.5
801,gazNat,18.14,203.5
802,gazNat,18.14,203.5
803,gazNat,18.14,203.5
804,gazNat,18.14,203.5
805,gazNat,18.14,203.5
806,gazNat,18.14,203.5
807,gazNat,18.14,203.5
808,gazNat,18.14,203.5
809,gazNat,18.14,203.5
810,gazNat,18.14,203.5
811,gazNat,18.14,203.5
812,gazNat,18.14,203.5
813,gazNat,18.14,203.5
814,gazNat,18.14,203.5
815,gazNat,18.14,203.5
816,gazNat,18.14,203.5
817,gazNat,18.14,203.5
818,gazNat,18.14,203.5
819,gazNat,18.14,203.5
820,gazNat,18.14,203.5
821,gazNat,18.14,203.5
822,gazNat,18.14,203.5
823,gazNat,18.14,203.5
824,gazNat,18.14,203.5
825,gazNat,18.14,203.5
826,gazNat,18.14,203.5
827,gazNat,18.14,203.5
828,gazNat,18.14,203.5
829,gazNat,18.14,203.5
830,gazNat,18.14,203.5
831,gazNat,18.14,203.5
832,gazNat,18.14,203.5
833,gazNat,18.14,203.5
834,gazNat,18.14,203.5
835,gazNat,18.14,203.5
836,gazNat,18.14,203.5
837,gazNat,18.14,203.5
838,gazNat,18.14,203.5
839,gazNat,18.14,203.5
840,gazNat,18.14,203.5
841,gazNat,18.14,203.5
842,gazNat,19.16,203.5
843,gazNat,19.16,203.5
844,gazNat,19.16,203.5
845,gazNat,19.16,203.5
846,gazNat,19.16,203.5
847,gazNat,19.16,203.5
848,gazNat,19.16,203.5
849,gazNat,19.16,203.5
850,gazNat,19.16,203.5
851,gazNat,19.16,203.5
852,gazNat,19.16,203.5
853,gazNat,19.16,203.5
854,gazNat,19.16,203.5
855,gazNat,19.16,203.5
856,gazNat,19.16,203.5
857,gazNat,19.16,203.5
858,gazNat,19.16,203.5
859,gazNat,19.16,203.5
860,gazNat,19.16,203.5
861,gazNat,19.16,203.5
862,gazNat,19.16,203.5
863,gazNat,19.16,203.5
864,gazNat,19.16,203.5
865,gazNat,19.16,203.5
866,gazNat,19.16,203.5
867,gazNat,19.16,203.5
868,gazNat,19.16,203.5
869,gazNat,19.16,203.5
870,gazNat,19.16,203.5
871,gazNat,19.16,203.5
872,gazNat,19.16,203.5
873,gazNat,19.16,203.5
874,gazNat,19.16,203.5
875,gazNat,19.16,203.5
