TIMESTAMP,RESOURCES,areaConsumption
940,electricity,59235
941,electricity,57407
942,electricity,57332
943,electricity,58828
944,electricity,61389
945,electricity,63363
946,electricity,65772
947,electricity,66376
948,electricity,65971
949,electricity,66380
950,electricity,65836
951,electricity,62811
952,electricity,60393
953,electricity,58848
954,electricity,58822
955,electricity,62767
956,electricity,66912
957,electricity,64882
958,electricity,62350
959,electricity,60933
960,electricity,64006
961,electricity,63125
962,electricity,59496
963,electricity,58325
964,electricity,55157
965,electricity,52876
966,electricity,52289
967,electricity,52839
968,electricity,54125
969,electricity,55140
970,electricity,58151
971,electricity,61092
972,electricity,63118
973,electricity,65133
974,electricity,65055
975,electricity,61763
976,electricity,59731
977,electricity,58839
978,electricity,58989
979,electricity,62891
980,electricity,68228
981,electricity,67154
982,electricity,64891
983,electricity,63608
984,electricity,66231
985,electricity,65313
986,electricity,62271
987,electricity,61691
988,electricity,59372
989,electricity,58184
990,electricity,60136
991,electricity,65322
992,electricity,72045
993,electricity,75272
994,electricity,76085
995,electricity,75799
996,electricity,75413
997,electricity,75407
998,electricity,74691
999,electricity,72669
1000,electricity,70265
1001,electricity,69045
1002,electricity,68612
1003,electricity,72381
1004,electricity,77720
1005,electricity,74909
1006,electricity,70814
1007,electricity,68886
1008,electricity,71340
1009,electricity,70127
1010,electricity,66645
1011,electricity,65921
1012,electricity,63920
1013,electricity,62895
1014,electricity,64640
1015,electricity,69827
1016,electricity,76964
1017,electricity,80270
1018,electricity,80618
1019,electricity,79560
1020,electricity,77935
1021,electricity,76478
1022,electricity,74378
1023,electricity,71829
1024,electricity,69012
1025,electricity,67350
1026,electricity,67017
1027,electricity,71194
1028,electricity,77501
1029,electricity,75177
1030,electricity,71434
1031,electricity,69597
1032,electricity,72034
1033,electricity,71022
1034,electricity,67605
1035,electricity,66989
1036,electricity,64778
1037,electricity,63803
1038,electricity,65480
1039,electricity,70600
1040,electricity,77394
1041,electricity,80497
1042,electricity,81464
1043,electricity,80299
1044,electricity,78491
1045,electricity,76913
1046,electricity,74511
1047,electricity,71484
1048,electricity,68255
1049,electricity,66284
1050,electricity,65901
1051,electricity,70227
1052,electricity,76764
1053,electricity,74629
1054,electricity,70725
1055,electricity,68957
1056,electricity,71506
1057,electricity,70581
1058,electricity,67150
1059,electricity,66592
1060,electricity,64399
1061,electricity,63298
1062,electricity,64931
1063,electricity,69978
1064,electricity,76837
1065,electricity,79843
1066,electricity,79762
1067,electricity,77939
1068,electricity,75921
1069,electricity,74113
1070,electricity,71737
1071,electricity,68783
1072,electricity,65622
1073,electricity,63471
1074,electricity,63043
1075,electricity,67082
1076,electricity,73650
1077,electricity,71529
1078,electricity,68027
1079,electricity,66340
1080,electricity,68990
1081,electricity,67969
1082,electricity,64663
1083,electricity,64040
1084,electricity,61984
1085,electricity,60903
1086,electricity,62579
1087,electricity,67576
1088,electricity,74049
1089,electricity,76836
