TIMESTAMP,TECHNOLOGIES,availabilityFactor
578,OldNuke,0.8721
579,OldNuke,0.8743
580,OldNuke,0.8716
581,OldNuke,0.8665
582,OldNuke,0.8668
583,OldNuke,0.8697
584,OldNuke,0.8706
585,OldNuke,0.8709
586,OldNuke,0.8707
587,OldNuke,0.8706
588,OldNuke,0.8704
589,OldNuke,0.8704
590,OldNuke,0.8703
591,OldNuke,0.8698
592,OldNuke,0.869
593,OldNuke,0.8699
594,OldNuke,0.87
595,OldNuke,0.8702
596,OldNuke,0.8701
597,OldNuke,0.8699
598,OldNuke,0.8698
599,OldNuke,0.8626
600,OldNuke,0.8631
601,OldNuke,0.8576
602,OldNuke,0.8468
603,OldNuke,0.8488
604,OldNuke,0.8466
605,OldNuke,0.8445
606,OldNuke,0.8451
607,OldNuke,0.8467
608,OldNuke,0.8525
609,OldNuke,0.8579
610,OldNuke,0.8591
611,OldNuke,0.8593
612,OldNuke,0.8681
613,OldNuke,0.869
614,OldNuke,0.8678
615,OldNuke,0.8662
616,OldNuke,0.8652
617,OldNuke,0.8666
618,OldNuke,0.8617
619,OldNuke,0.8601
620,OldNuke,0.859
621,OldNuke,0.8556
622,OldNuke,0.8538
623,OldNuke,0.8504
624,OldNuke,0.8529
625,OldNuke,0.8521
626,OldNuke,0.836
627,OldNuke,0.8253
628,OldNuke,0.8039
629,OldNuke,0.7911
630,OldNuke,0.7859
631,OldNuke,0.7829
632,OldNuke,0.8061
633,OldNuke,0.832
634,OldNuke,0.8454
635,OldNuke,0.8534
636,OldNuke,0.8511
637,OldNuke,0.8512
638,OldNuke,0.8532
639,OldNuke,0.8561
640,OldNuke,0.8559
641,OldNuke,0.8653
642,OldNuke,0.8661
643,OldNuke,0.8653
644,OldNuke,0.8662
645,OldNuke,0.8666
646,OldNuke,0.8664
647,OldNuke,0.8658
648,OldNuke,0.8632
649,OldNuke,0.8633
650,OldNuke,0.862
651,OldNuke,0.8624
652,OldNuke,0.8635
653,OldNuke,0.865
654,OldNuke,0.8735
655,OldNuke,0.8762
656,OldNuke,0.8779
657,OldNuke,0.8799
658,OldNuke,0.8814
659,OldNuke,0.8822
660,OldNuke,0.8824
661,OldNuke,0.8812
662,OldNuke,0.8804
663,OldNuke,0.8799
664,OldNuke,0.8772
665,OldNuke,0.876
666,OldNuke,0.8791
667,OldNuke,0.8793
668,OldNuke,0.8808
669,OldNuke,0.8816
670,OldNuke,0.8818
671,OldNuke,0.8831
672,OldNuke,0.8801
673,OldNuke,0.8789
674,OldNuke,0.8782
675,OldNuke,0.8782
676,OldNuke,0.8749
677,OldNuke,0.8738
678,OldNuke,0.8764
679,OldNuke,0.8815
680,OldNuke,0.8823
681,OldNuke,0.8825
682,OldNuke,0.8822
683,OldNuke,0.8813
684,OldNuke,0.8809
685,OldNuke,0.8827
686,OldNuke,0.8826
687,OldNuke,0.8807
688,OldNuke,0.8796
689,OldNuke,0.8785
690,OldNuke,0.8782
691,OldNuke,0.8783
692,OldNuke,0.8781
693,OldNuke,0.8773
694,OldNuke,0.8749
695,OldNuke,0.8717
696,OldNuke,0.874
697,OldNuke,0.8708
698,OldNuke,0.873
699,OldNuke,0.8762
700,OldNuke,0.8751
701,OldNuke,0.8733
702,OldNuke,0.8739
703,OldNuke,0.8771
704,OldNuke,0.8812
705,OldNuke,0.8827
706,OldNuke,0.8827
707,OldNuke,0.8818
708,OldNuke,0.8819
709,OldNuke,0.8818
710,OldNuke,0.8815
711,OldNuke,0.8741
712,OldNuke,0.8666
713,OldNuke,0.8665
714,OldNuke,0.8663
715,OldNuke,0.8665
716,OldNuke,0.8666
717,OldNuke,0.8648
718,OldNuke,0.867
719,OldNuke,0.8679
720,OldNuke,0.8692
721,OldNuke,0.8698
722,OldNuke,0.8692
723,OldNuke,0.87
724,OldNuke,0.867
725,OldNuke,0.866
726,OldNuke,0.8548
727,OldNuke,0.8559
728,OldNuke,0.8576
729,OldNuke,0.8585
730,OldNuke,0.8581
731,OldNuke,0.859
732,OldNuke,0.8593
733,OldNuke,0.8644
734,OldNuke,0.8771
735,OldNuke,0.8771
736,OldNuke,0.8768
737,OldNuke,0.8764
738,OldNuke,0.8767
739,OldNuke,0.8766
740,OldNuke,0.8762
741,OldNuke,0.8764
742,OldNuke,0.8747
743,OldNuke,0.8692
744,OldNuke,0.8669
745,OldNuke,0.8665
746,OldNuke,0.8638
747,OldNuke,0.8628
748,OldNuke,0.8607
749,OldNuke,0.8636
750,OldNuke,0.866
751,OldNuke,0.8723
752,OldNuke,0.8752
753,OldNuke,0.8747
754,OldNuke,0.8751
755,OldNuke,0.8751
756,OldNuke,0.8748
757,OldNuke,0.8753
758,OldNuke,0.8761
759,OldNuke,0.8765
760,OldNuke,0.877
761,OldNuke,0.8771
762,OldNuke,0.8769
763,OldNuke,0.8767
764,OldNuke,0.8782
765,OldNuke,0.8811
766,OldNuke,0.8799
767,OldNuke,0.8745
768,OldNuke,0.874
769,OldNuke,0.8713
770,OldNuke,0.8719
771,OldNuke,0.8754
772,OldNuke,0.8608
773,OldNuke,0.8577
774,OldNuke,0.8589
775,OldNuke,0.8591
776,OldNuke,0.8622
777,OldNuke,0.8673
778,OldNuke,0.8721
779,OldNuke,0.8742
780,OldNuke,0.8853
781,OldNuke,0.8869
782,OldNuke,0.8869
783,OldNuke,0.8856
784,OldNuke,0.8834
785,OldNuke,0.8868
786,OldNuke,0.8834
787,OldNuke,0.8866
788,OldNuke,0.8887
789,OldNuke,0.8881
790,OldNuke,0.8825
791,OldNuke,0.8808
792,OldNuke,0.8858
793,OldNuke,0.8849
794,OldNuke,0.8801
795,OldNuke,0.8797
796,OldNuke,0.8638
797,OldNuke,0.8606
798,OldNuke,0.87
799,OldNuke,0.8711
800,OldNuke,0.8659
801,OldNuke,0.8707
802,OldNuke,0.8724
803,OldNuke,0.8751
804,OldNuke,0.8751
805,OldNuke,0.8759
806,OldNuke,0.8697
807,OldNuke,0.8604
808,OldNuke,0.8558
809,OldNuke,0.8582
810,OldNuke,0.8614
811,OldNuke,0.8692
812,OldNuke,0.8752
813,OldNuke,0.8804
814,OldNuke,0.8856
815,OldNuke,0.8843
816,OldNuke,0.8828
817,OldNuke,0.8782
818,OldNuke,0.8727
819,OldNuke,0.8761
820,OldNuke,0.8748
821,OldNuke,0.8707
822,OldNuke,0.871
823,OldNuke,0.8747
824,OldNuke,0.8834
825,OldNuke,0.8863
826,OldNuke,0.8858
827,OldNuke,0.8853
828,OldNuke,0.8855
829,OldNuke,0.8853
