YEAR,TIMESTAMP,TECHNOLOGIES,availabilityFactor
2020,97,WindOffShore_flot,0.949
2020,97,WindOnShore,0.724
2020,98,Solar,0.0
2020,98,WindOffShore_flot,0.97
2020,98,WindOnShore,0.776
2020,99,Solar,0.0
2020,99,WindOffShore_flot,0.98
2020,99,WindOnShore,0.821
2020,100,Solar,0.0
2020,100,WindOffShore_flot,0.985
2020,100,WindOnShore,0.845
2020,101,Solar,0.0
2020,101,WindOffShore_flot,0.986
2020,101,WindOnShore,0.846
2020,102,Solar,0.0
2020,102,WindOffShore_flot,0.985
2020,102,WindOnShore,0.836
2020,103,Solar,0.0
2020,103,WindOffShore_flot,0.983
2020,103,WindOnShore,0.827
2020,104,Solar,0.078
2020,104,WindOffShore_flot,0.978
2020,104,WindOnShore,0.806
2020,105,Solar,0.336
2020,105,WindOffShore_flot,0.97
2020,105,WindOnShore,0.77
2020,106,Solar,0.53
2020,106,WindOffShore_flot,0.967
2020,106,WindOnShore,0.782
2020,107,Solar,0.647
2020,107,WindOffShore_flot,0.963
2020,107,WindOnShore,0.792
2020,108,Solar,0.682
2020,108,WindOffShore_flot,0.967
2020,108,WindOnShore,0.822
2020,109,Solar,0.65
2020,109,WindOffShore_flot,0.976
2020,109,WindOnShore,0.863
2020,110,Solar,0.557
2020,110,WindOffShore_flot,0.984
2020,110,WindOnShore,0.905
2020,111,Solar,0.388
2020,111,WindOffShore_flot,0.988
2020,111,WindOnShore,0.927
2020,112,Solar,0.141
2020,112,WindOffShore_flot,0.988
2020,112,WindOnShore,0.946
2020,113,Solar,0.0
2020,113,WindOffShore_flot,0.98
2020,113,WindOnShore,0.958
2020,114,Solar,0.0
2020,114,WindOffShore_flot,0.971
2020,114,WindOnShore,0.961
2020,115,Solar,0.0
2020,115,WindOffShore_flot,0.963
2020,115,WindOnShore,0.964
2020,116,Solar,0.0
2020,116,WindOffShore_flot,0.954
2020,116,WindOnShore,0.968
2020,117,Solar,0.0
2020,117,WindOffShore_flot,0.951
2020,117,WindOnShore,0.968
2020,118,Solar,0.0
2020,118,WindOffShore_flot,0.948
2020,118,WindOnShore,0.97
2020,119,Solar,0.0
2020,119,WindOffShore_flot,0.944
2020,119,WindOnShore,0.971
2020,120,Solar,0.0
2020,120,WindOffShore_flot,0.943
2020,120,WindOnShore,0.971
2020,121,Solar,0.0
2020,121,WindOffShore_flot,0.956
2020,121,WindOnShore,0.963
2020,122,Solar,0.0
2020,122,WindOffShore_flot,0.965
2020,122,WindOnShore,0.957
2020,123,Solar,0.0
2020,123,WindOffShore_flot,0.969
2020,123,WindOnShore,0.954
2020,124,Solar,0.0
2020,124,WindOffShore_flot,0.973
2020,124,WindOnShore,0.952
2020,125,Solar,0.0
2020,125,WindOffShore_flot,0.979
2020,125,WindOnShore,0.947
2020,126,Solar,0.0
2020,126,WindOffShore_flot,0.981
2020,126,WindOnShore,0.945
2020,127,Solar,0.0
2020,127,WindOffShore_flot,0.98
2020,127,WindOnShore,0.945
2020,128,Solar,0.068
2020,128,WindOffShore_flot,0.979
2020,128,WindOnShore,0.946
2020,129,Solar,0.368
2020,129,WindOffShore_flot,0.978
2020,129,WindOnShore,0.949
2020,130,Solar,0.566
2020,130,WindOffShore_flot,0.977
2020,130,WindOnShore,0.957
2020,131,Solar,0.67
2020,131,WindOffShore_flot,0.975
2020,131,WindOnShore,0.966
2020,132,Solar,0.708
2020,132,WindOffShore_flot,0.98
2020,132,WindOnShore,0.962
2020,133,Solar,0.679
2020,133,WindOffShore_flot,0.986
2020,133,WindOnShore,0.947
2020,134,Solar,0.585
2020,134,WindOffShore_flot,0.989
2020,134,WindOnShore,0.928
2020,135,Solar,0.416
2020,135,WindOffShore_flot,0.989
2020,135,WindOnShore,0.912
2020,136,Solar,0.161
2020,136,WindOffShore_flot,0.988
2020,136,WindOnShore,0.902
2020,137,Solar,0.0
2020,137,WindOffShore_flot,0.988
2020,137,WindOnShore,0.896
2020,138,Solar,0.0
2020,138,WindOffShore_flot,0.987
2020,138,WindOnShore,0.886
2020,139,Solar,0.0
2020,139,WindOffShore_flot,0.987
2020,139,WindOnShore,0.878
2020,140,Solar,0.0
2020,140,WindOffShore_flot,0.987
2020,140,WindOnShore,0.887
2020,141,Solar,0.0
2020,141,WindOffShore_flot,0.986
2020,141,WindOnShore,0.882
2020,142,Solar,0.0
2020,142,WindOffShore_flot,0.985
2020,142,WindOnShore,0.869
2020,143,Solar,0.0
2020,143,WindOffShore_flot,0.984
2020,143,WindOnShore,0.857
2020,144,Solar,0.0
2020,144,WindOffShore_flot,0.981
2020,144,WindOnShore,0.84
2020,145,Solar,0.0
2020,145,WindOffShore_flot,0.978
2020,145,WindOnShore,0.827
2020,146,Solar,0.0
2020,146,WindOffShore_flot,0.974
2020,146,WindOnShore,0.814
2020,147,Solar,0.0
2020,147,WindOffShore_flot,0.971
2020,147,WindOnShore,0.802
2020,148,Solar,0.0
2020,148,WindOffShore_flot,0.967
2020,148,WindOnShore,0.785
2020,149,Solar,0.0
2020,149,WindOffShore_flot,0.961
2020,149,WindOnShore,0.765
2020,150,Solar,0.0
2020,150,WindOffShore_flot,0.958
2020,150,WindOnShore,0.755
2020,151,Solar,0.0
2020,151,WindOffShore_flot,0.959
2020,151,WindOnShore,0.76
2020,152,Solar,0.082
2020,152,WindOffShore_flot,0.96
2020,152,WindOnShore,0.764
2020,153,Solar,0.36
2020,153,WindOffShore_flot,0.957
2020,153,WindOnShore,0.754
2020,154,Solar,0.545
2020,154,WindOffShore_flot,0.942
2020,154,WindOnShore,0.71
2020,155,Solar,0.648
2020,155,WindOffShore_flot,0.92
2020,155,WindOnShore,0.659
2020,156,Solar,0.682
2020,156,WindOffShore_flot,0.893
2020,156,WindOnShore,0.582
2020,157,Solar,0.653
2020,157,WindOffShore_flot,0.868
2020,157,WindOnShore,0.519
2020,158,Solar,0.561
2020,158,WindOffShore_flot,0.866
2020,158,WindOnShore,0.514
2020,159,Solar,0.395
2020,159,WindOffShore_flot,0.886
2020,159,WindOnShore,0.56
2020,160,Solar,0.143
2020,160,WindOffShore_flot,0.923
2020,160,WindOnShore,0.661
2020,161,Solar,0.0
2020,161,WindOffShore_flot,0.941
2020,161,WindOnShore,0.717
2020,162,Solar,0.0
2020,162,WindOffShore_flot,0.931
2020,162,WindOnShore,0.687
2020,163,Solar,0.0
2020,163,WindOffShore_flot,0.918
2020,163,WindOnShore,0.655
2020,164,Solar,0.0
2020,164,WindOffShore_flot,0.91
2020,164,WindOnShore,0.633
2020,165,Solar,0.0
2020,165,WindOffShore_flot,0.911
2020,165,WindOnShore,0.646
2020,166,Solar,0.0
2020,166,WindOffShore_flot,0.907
2020,166,WindOnShore,0.646
2020,167,Solar,0.0
2020,167,WindOffShore_flot,0.904
2020,167,WindOnShore,0.635
2020,168,Solar,0.0
2020,168,WindOffShore_flot,0.905
2020,168,WindOnShore,0.635
2020,169,Solar,0.0
2020,169,WindOffShore_flot,0.918
2020,169,WindOnShore,0.661
2020,170,Solar,0.0
2020,170,WindOffShore_flot,0.938
2020,170,WindOnShore,0.705
2020,171,Solar,0.0
2020,171,WindOffShore_flot,0.95
2020,171,WindOnShore,0.733
2020,172,Solar,0.0
2020,172,WindOffShore_flot,0.953
2020,172,WindOnShore,0.733
2020,173,Solar,0.0
2020,173,WindOffShore_flot,0.96
2020,173,WindOnShore,0.748
2020,174,Solar,0.0
2020,174,WindOffShore_flot,0.969
2020,174,WindOnShore,0.772
2020,175,Solar,0.0
2020,175,WindOffShore_flot,0.971
2020,175,WindOnShore,0.771
2020,176,Solar,0.037
2020,176,WindOffShore_flot,0.973
2020,176,WindOnShore,0.762
2020,177,Solar,0.206
2020,177,WindOffShore_flot,0.973
2020,177,WindOnShore,0.741
2020,178,Solar,0.454
2020,178,WindOffShore_flot,0.97
2020,178,WindOnShore,0.71
2020,179,Solar,0.589
2020,179,WindOffShore_flot,0.97
2020,179,WindOnShore,0.752
2020,180,Solar,0.63
2020,180,WindOffShore_flot,0.971
2020,180,WindOnShore,0.785
2020,181,Solar,0.54
2020,181,WindOffShore_flot,0.975
2020,181,WindOnShore,0.799
2020,182,Solar,0.391
2020,182,WindOffShore_flot,0.979
2020,182,WindOnShore,0.804
2020,183,Solar,0.214
2020,183,WindOffShore_flot,0.984
2020,183,WindOnShore,0.827
2020,184,Solar,0.039
2020,184,WindOffShore_flot,0.988
2020,184,WindOnShore,0.853
2020,185,Solar,0.0
2020,185,WindOffShore_flot,0.989
2020,185,WindOnShore,0.85
2020,186,Solar,0.0
2020,186,WindOffShore_flot,0.989
2020,186,WindOnShore,0.853
2020,187,Solar,0.0
2020,187,WindOffShore_flot,0.989
2020,187,WindOnShore,0.862
2020,188,Solar,0.0
2020,188,WindOffShore_flot,0.989
2020,188,WindOnShore,0.857
2020,189,Solar,0.0
2020,189,WindOffShore_flot,0.988
2020,189,WindOnShore,0.842
2020,190,Solar,0.0
2020,190,WindOffShore_flot,0.988
2020,190,WindOnShore,0.836
2020,191,Solar,0.0
2020,191,WindOffShore_flot,0.987
2020,191,WindOnShore,0.824
2020,192,Solar,0.0
2020,192,WindOffShore_flot,0.983
2020,192,WindOnShore,0.801
2020,193,Solar,0.0
2020,193,WindOffShore_flot,0.981
2020,193,WindOnShore,0.788
2020,194,Solar,0.0
2020,194,WindOffShore_flot,0.982
2020,194,WindOnShore,0.795
2020,195,Solar,0.0
2020,195,WindOffShore_flot,0.986
2020,195,WindOnShore,0.817
2020,196,Solar,0.0
2020,196,WindOffShore_flot,0.988
2020,196,WindOnShore,0.834
2020,197,Solar,0.0
2020,197,WindOffShore_flot,0.989
2020,197,WindOnShore,0.842
2020,198,Solar,0.0
2020,198,WindOffShore_flot,0.989
2020,198,WindOnShore,0.845
2020,199,Solar,0.0
2020,199,WindOffShore_flot,0.988
2020,199,WindOnShore,0.83
2020,200,Solar,0.086
2020,200,WindOffShore_flot,0.986
2020,200,WindOnShore,0.814
2020,201,Solar,0.359
2020,201,WindOffShore_flot,0.984
2020,201,WindOnShore,0.797
2020,202,Solar,0.537
2020,202,WindOffShore_flot,0.985
2020,202,WindOnShore,0.828
2020,203,Solar,0.644
2020,203,WindOffShore_flot,0.988
2020,203,WindOnShore,0.889
2020,204,Solar,0.676
2020,204,WindOffShore_flot,0.989
2020,204,WindOnShore,0.925
2020,205,Solar,0.643
2020,205,WindOffShore_flot,0.986
2020,205,WindOnShore,0.944
2020,206,Solar,0.542
2020,206,WindOffShore_flot,0.982
2020,206,WindOnShore,0.947
2020,207,Solar,0.353
2020,207,WindOffShore_flot,0.981
2020,207,WindOnShore,0.946
2020,208,Solar,0.124
2020,208,WindOffShore_flot,0.98
2020,208,WindOnShore,0.945
2020,209,Solar,0.0
2020,209,WindOffShore_flot,0.981
2020,209,WindOnShore,0.937
2020,210,Solar,0.0
2020,210,WindOffShore_flot,0.983
2020,210,WindOnShore,0.928
2020,211,Solar,0.0
2020,211,WindOffShore_flot,0.984
2020,211,WindOnShore,0.923
2020,212,Solar,0.0
2020,212,WindOffShore_flot,0.984
2020,212,WindOnShore,0.922
2020,213,Solar,0.0
2020,213,WindOffShore_flot,0.984
2020,213,WindOnShore,0.924
2020,214,Solar,0.0
2020,214,WindOffShore_flot,0.986
2020,214,WindOnShore,0.918
2020,215,Solar,0.0
2020,215,WindOffShore_flot,0.987
2020,215,WindOnShore,0.906
2020,216,Solar,0.0
2020,216,WindOffShore_flot,0.989
2020,216,WindOnShore,0.886
2020,217,Solar,0.0
2020,217,WindOffShore_flot,0.989
2020,217,WindOnShore,0.883
2020,218,Solar,0.0
2020,218,WindOffShore_flot,0.989
2020,218,WindOnShore,0.873
2020,219,Solar,0.0
2020,219,WindOffShore_flot,0.989
2020,219,WindOnShore,0.862
2020,220,Solar,0.0
2020,220,WindOffShore_flot,0.989
2020,220,WindOnShore,0.864
2020,221,Solar,0.0
2020,221,WindOffShore_flot,0.989
2020,221,WindOnShore,0.863
2020,222,Solar,0.0
2020,222,WindOffShore_flot,0.988
2020,222,WindOnShore,0.857
2020,223,Solar,0.0
2020,223,WindOffShore_flot,0.987
2020,223,WindOnShore,0.846
2020,224,Solar,0.085
2020,224,WindOffShore_flot,0.981
2020,224,WindOnShore,0.818
2020,225,Solar,0.367
2020,225,WindOffShore_flot,0.961
2020,225,WindOnShore,0.746
2020,226,Solar,0.56
2020,226,WindOffShore_flot,0.929
2020,226,WindOnShore,0.689
2020,227,Solar,0.668
2020,227,WindOffShore_flot,0.896
2020,227,WindOnShore,0.645
2020,228,Solar,0.707
2020,228,WindOffShore_flot,0.875
2020,228,WindOnShore,0.614
2020,229,Solar,0.681
2020,229,WindOffShore_flot,0.885
2020,229,WindOnShore,0.62
2020,230,Solar,0.59
2020,230,WindOffShore_flot,0.904
2020,230,WindOnShore,0.646
2020,231,Solar,0.421
2020,231,WindOffShore_flot,0.924
2020,231,WindOnShore,0.689
2020,232,Solar,0.163
2020,232,WindOffShore_flot,0.946
2020,232,WindOnShore,0.741
2020,233,Solar,0.0
2020,233,WindOffShore_flot,0.962
2020,233,WindOnShore,0.782
2020,234,Solar,0.0
2020,234,WindOffShore_flot,0.968
2020,234,WindOnShore,0.788
2020,235,Solar,0.0
2020,235,WindOffShore_flot,0.966
2020,235,WindOnShore,0.778
2020,236,Solar,0.0
2020,236,WindOffShore_flot,0.962
2020,236,WindOnShore,0.765
2020,237,Solar,0.0
2020,237,WindOffShore_flot,0.951
2020,237,WindOnShore,0.743
2020,238,Solar,0.0
2020,238,WindOffShore_flot,0.934
2020,238,WindOnShore,0.705
2020,239,Solar,0.0
2020,239,WindOffShore_flot,0.918
2020,239,WindOnShore,0.673
2020,240,Solar,0.0
2020,240,WindOffShore_flot,0.891
2020,240,WindOnShore,0.619
2020,241,Solar,0.0
2020,241,WindOffShore_flot,0.863
2020,241,WindOnShore,0.571
2020,242,Solar,0.0
2020,242,WindOffShore_flot,0.861
2020,242,WindOnShore,0.58
2020,243,Solar,0.0
2020,243,WindOffShore_flot,0.854
2020,243,WindOnShore,0.572
2020,244,Solar,0.0
2020,244,WindOffShore_flot,0.859
2020,244,WindOnShore,0.582
2020,245,Solar,0.0
2020,245,WindOffShore_flot,0.873
2020,245,WindOnShore,0.607
2020,246,Solar,0.0
2020,246,WindOffShore_flot,0.896
2020,246,WindOnShore,0.643
2020,247,Solar,0.0
2020,247,WindOffShore_flot,0.915
2020,247,WindOnShore,0.672
2020,248,Solar,0.095
2020,248,WindOffShore_flot,0.922
2020,248,WindOnShore,0.674
2020,249,Solar,0.38
2020,249,WindOffShore_flot,0.914
2020,249,WindOnShore,0.645
2020,250,Solar,0.569
2020,250,WindOffShore_flot,0.904
