,AREA,YEAR_op,TIMESTAMP,STOCK_TECHNO,stockLevel_Pvar
239,France,2020,120,Battery,0.0
240,France,2020,121,saltCavernH2_G,0.0
241,France,2020,121,Battery,0.0
242,France,2020,122,saltCavernH2_G,0.0
243,France,2020,122,Battery,0.0
244,France,2020,123,saltCavernH2_G,0.0
245,France,2020,123,Battery,0.0
246,France,2020,124,saltCavernH2_G,0.0
247,France,2020,124,Battery,0.0
248,France,2020,125,saltCavernH2_G,0.0
249,France,2020,125,Battery,0.0
250,France,2020,126,saltCavernH2_G,0.0
251,France,2020,126,Battery,0.0
252,France,2020,127,saltCavernH2_G,0.0
253,France,2020,127,Battery,0.0
254,France,2020,128,saltCavernH2_G,0.0
255,France,2020,128,Battery,0.0
256,France,2020,129,saltCavernH2_G,0.0
257,France,2020,129,Battery,0.0
258,France,2020,130,saltCavernH2_G,0.0
259,France,2020,130,Battery,0.0
260,France,2020,131,saltCavernH2_G,0.0
261,France,2020,131,Battery,0.0
262,France,2020,132,saltCavernH2_G,0.0
263,France,2020,132,Battery,0.0
264,France,2020,133,saltCavernH2_G,0.0
265,France,2020,133,Battery,0.0
266,France,2020,134,saltCavernH2_G,0.0
267,France,2020,134,Battery,0.0
268,France,2020,135,saltCavernH2_G,0.0
269,France,2020,135,Battery,0.0
270,France,2020,136,saltCavernH2_G,0.0
271,France,2020,136,Battery,0.0
272,France,2020,137,saltCavernH2_G,0.0
273,France,2020,137,Battery,0.0
274,France,2020,138,saltCavernH2_G,0.0
275,France,2020,138,Battery,0.0
276,France,2020,139,saltCavernH2_G,0.0
277,France,2020,139,Battery,0.0
278,France,2020,140,saltCavernH2_G,0.0
279,France,2020,140,Battery,0.0
280,France,2020,141,saltCavernH2_G,0.0
281,France,2020,141,Battery,0.0
282,France,2020,142,saltCavernH2_G,0.0
283,France,2020,142,Battery,0.0
284,France,2020,143,saltCavernH2_G,0.0
285,France,2020,143,Battery,0.0
286,France,2020,144,saltCavernH2_G,0.0
287,France,2020,144,Battery,0.0
288,France,2020,145,saltCavernH2_G,0.0
289,France,2020,145,Battery,0.0
290,France,2020,146,saltCavernH2_G,0.0
291,France,2020,146,Battery,0.0
292,France,2020,147,saltCavernH2_G,0.0
293,France,2020,147,Battery,0.0
294,France,2020,148,saltCavernH2_G,0.0
295,France,2020,148,Battery,0.0
296,France,2020,149,saltCavernH2_G,0.0
297,France,2020,149,Battery,0.0
298,France,2020,150,saltCavernH2_G,0.0
299,France,2020,150,Battery,0.0
300,France,2020,151,saltCavernH2_G,0.0
301,France,2020,151,Battery,0.0
302,France,2020,152,saltCavernH2_G,0.0
303,France,2020,152,Battery,0.0
304,France,2020,153,saltCavernH2_G,0.0
305,France,2020,153,Battery,0.0
306,France,2020,154,saltCavernH2_G,0.0
307,France,2020,154,Battery,0.0
308,France,2020,155,saltCavernH2_G,0.0
309,France,2020,155,Battery,0.0
310,France,2020,156,saltCavernH2_G,0.0
311,France,2020,156,Battery,0.0
312,France,2020,157,saltCavernH2_G,0.0
313,France,2020,157,Battery,0.0
314,France,2020,158,saltCavernH2_G,0.0
315,France,2020,158,Battery,0.0
316,France,2020,159,saltCavernH2_G,0.0
317,France,2020,159,Battery,0.0
318,France,2020,160,saltCavernH2_G,0.0
319,France,2020,160,Battery,0.0
320,France,2020,161,saltCavernH2_G,0.0
321,France,2020,161,Battery,0.0
322,France,2020,162,saltCavernH2_G,0.0
323,France,2020,162,Battery,0.0
324,France,2020,163,saltCavernH2_G,0.0
325,France,2020,163,Battery,0.0
326,France,2020,164,saltCavernH2_G,0.0
327,France,2020,164,Battery,0.0
328,France,2020,165,saltCavernH2_G,0.0
329,France,2020,165,Battery,0.0
330,France,2020,166,saltCavernH2_G,0.0
331,France,2020,166,Battery,0.0
332,France,2020,167,saltCavernH2_G,0.0
333,France,2020,167,Battery,0.0
334,France,2020,168,saltCavernH2_G,0.0
335,France,2020,168,Battery,0.0
336,France,2020,169,saltCavernH2_G,0.0
337,France,2020,169,Battery,0.0
338,France,2020,170,saltCavernH2_G,0.0
339,France,2020,170,Battery,0.0
340,France,2020,171,saltCavernH2_G,0.0
341,France,2020,171,Battery,0.0
342,France,2020,172,saltCavernH2_G,0.0
343,France,2020,172,Battery,0.0
344,France,2020,173,saltCavernH2_G,0.0
345,France,2020,173,Battery,0.0
